Paper_ID,Title,Target_Field_Status,Target_Field_Strength,Target_Field_Category,Field_Pathway,Evidence_Page,Evidence_Section,Evidence_Summary,Evidence_Source,DOI
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,Not applicable,Not applicable,Not applicable,Not reported,5 | 1 | 3 | 5,"§4.1 Dataset description, Table 2 | Introduction | Segmentation method | §4.1",No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.patrec.2019.11.019
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,Not applicable,Not applicable,Not applicable,Not reported,7 | 7 | 7 | 2,§4.2 Datasets | §4.3 Implementation details | §4.2 Datasets | Fig. 1 caption,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.patcog.2024.110553
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,Not applicable,Not applicable,Not applicable,standard/high-field only,2 | 2 | 2,§2.2 Magnetic resonance imaging | §2.3 Data set | §2.1 Patients,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.mri.2020.10.003
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,Not available,Not available,Not available,Unclear,2 | 5 | 4,Abstract | Data availability | Section snippet: Study design/results,Target field strength could not be verified from the available publisher text.,Full-text article or supplied publisher text,10.1016/j.mri.2021.10.038
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,Not applicable,Not applicable,Not applicable,Unclear,2 | 5 | 6,Abstract | Figure 1 / workflow text | Results section snippet,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.bspc.2024.106117
6,A deep learning approach for brain tumor classification using MRI images,Not applicable,Not applicable,Not applicable,Unclear,6 | 6,Dataset section snippet | Dataset section snippet,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.compeleceng.2022.108105
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,Not applicable,Not applicable,Not applicable,standard/high-field only,5 | 2 | 2,Dataset section snippet | Abstract | Introduction/Fig. 1,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.compmedimag.2021.102014
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,Not applicable,Not applicable,Not applicable,Unclear,2 | 4 | 1,Abstract | DE-MRI and clinical information | Highlights,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.media.2022.102428
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,Explicitly reported,1.5 T,Standard/high-field,standard/high-field only,1 | 3 | 1,Abstract | Table 2 | Abstract,1.5 T,Full-text article or supplied publisher text,10.1016/j.diii.2022.06.006
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,Not available,Not available,Not available,Unclear,2 | 2,Abstract | Abstract,Target field strength could not be verified from the available publisher text.,Full-text article or supplied publisher text,10.1016/j.cmpb.2020.105729
11,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,Not reported,Not reported,Not reported,Not reported,2 | 2 | 3 | 8,§3.1 Data | §3.1 Data | Implementation | Data availability,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1016/j.bspc.2023.104901
12,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,Explicitly reported,3 T for subject-specific dynamic evaluation,Standard/high-field,standard/high-field only,3 | 3 | 7,Table 1 | §2.1 Data | Results,3 T for subject-specific dynamic evaluation,Full-text article or supplied publisher text,10.1016/j.artmed.2021.102196
13,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,Not available,Not available,Not available,Unclear,2 | 2 | 6,Method | Results/Conclusion | Network parameter setting snippet,Target field strength could not be verified from the available publisher text.,Full-text article or supplied publisher text,10.1016/j.cmpb.2024.108110
14,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,Not available,Not available,Not available,Unclear,2 | 6 | 2,Abstract/Results | Experimental settings | Abstract,Target field strength could not be verified from the available publisher text.,Full-text article or supplied publisher text,10.1016/j.cmpb.2019.105059
15,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,Explicitly reported,3.0 T,Standard/high-field,standard/high-field only,1 | 3 | 3 | 3-4,Abstract | CMR protocol / SR network | SR reconstruction | Objective/Subjective image analysis,3.0 T,Full-text article or supplied publisher text,10.1007/s00330-024-11145-0
16,Convolutional Neural Network-based Enhancement Method of 3D MRI,Not reported,Not reported,Not reported,Not reported,3 | 3 | 3,§IV-A Process of Training Set | Experiments | Experiments,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1109/icrest51555.2021.9331123
17,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",Explicitly reported,3 T for in-vivo acquired reference comparisons,Standard/high-field,standard/high-field only,3 | 4 | 8 | 3,Fig. 2 | §2.2.2 | Fig. 5 caption | §2.1.1,3 T for in-vivo acquired reference comparisons,Full-text article or supplied publisher text,10.1016/j.media.2023.102831
18,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,Not applicable,Not applicable,Not applicable,Not reported,2 | 2 | 4,§III Dataset | §III Dataset | Reference [8],No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1109/icaect57570.2023.10117880
