Paper_ID,DOI,Title,Primary_Focus_Source,Primary_Focus_Corrected,Primary_SR_Sensitivity_Eligible,Pure_or_Denoising_SR_Eligible,Classification_Basis,Evidence_Section,Scope_Rationale
1,10.1016/j.patrec.2019.11.019,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,SR+Segmentation,SR + Segmentation,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Segmentation; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
2,10.1016/j.patcog.2024.110553,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,SR+Segmentation,SR + Segmentation,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Segmentation; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
3,10.1016/j.mri.2020.10.003,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,SR+Diagnosis,SR + Diagnosis,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Diagnosis; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
4,10.1016/j.mri.2021.10.038,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,Denoising+SR,Other,No,No,Full-text scope correction,Abstract and Methods,Deep-learning MR reconstruction and reader-based enhancement are evaluated; the article does not report a low-to-high spatial-resolution mapping.
5,10.1016/j.bspc.2024.106117,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
6,10.1016/j.compeleceng.2022.108105,A deep learning approach for brain tumor classification using MRI images,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
7,10.1016/j.compmedimag.2021.102014,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,SR + segmentation,SR + Segmentation,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Segmentation; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
8,10.1016/j.media.2022.102428,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,Segmentation + Classification,Other,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Other; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
9,10.1016/j.diii.2022.06.006,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,Denoising+SR,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
10,10.1016/j.cmpb.2020.105729,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,Denoising+SR,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
11,10.1016/j.bspc.2023.104901,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
12,10.1016/j.artmed.2021.102196,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
13,10.1016/j.cmpb.2024.108110,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
14,10.1016/j.cmpb.2019.105059,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
15,10.1007/s00330-024-11145-0,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,SR + acceleration,SR + Other,Yes,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Other; included in the SR-primary sensitivity cohort under the stated category rule.
