Paper_ID,DOI,Title,Evidence_Document,Evidence_Source,Rubric_Version,TR_LowFieldDomain,TR_LowFieldDomain_Decision,TR_LowFieldDomain_Evidence_Page,TR_LowFieldDomain_Evidence_Section,TR_LowFieldDomain_Reason,TR_OpenScience,TR_OpenScience_Decision,TR_OpenScience_Evidence_Page,TR_OpenScience_Evidence_Section,TR_OpenScience_Reason,TR_ClinicalEvaluation,TR_ClinicalEvaluation_Decision,TR_ClinicalEvaluation_Evidence_Page,TR_ClinicalEvaluation_Evidence_Section,TR_ClinicalEvaluation_Reason,TR_HardwareAwareness,TR_HardwareAwareness_Decision,TR_HardwareAwareness_Evidence_Page,TR_HardwareAwareness_Evidence_Section,TR_HardwareAwareness_Reason,TR_DataDiversity,TR_DataDiversity_Decision,TR_DataDiversity_Evidence_Page,TR_DataDiversity_Evidence_Section,TR_DataDiversity_Reason,TR_Score
1,10.1016/j.patrec.2019.11.019,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,1. Active deep neural network features selection(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not reported,Full text review,"No training/fine-tuning at ≤64 mT is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not reported,Full text review,"No persistent public model/code URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,5-7,Experiments,The paper evaluates algorithmic segmentation/classification benchmarks; no reader assessment or separately defined downstream clinical task is reported.,0,No,5,Implementation,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",0,No,5-7,Experiments,"Multiple BraTS releases are used, but scanner/vendor/multicentre variability or external real-world generalisation is not explicitly analysed.",0
2,10.1016/j.patcog.2024.110553,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2. Brain tumor segmentation in MRI with multi-modality spatial(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not reported,Full text review,"No ≤64 mT training/fine-tuning is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not reported,Full text review,"No persistent public model/code URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,7-13,Experiments,This is segmentation benchmark evaluation without reader assessment or a separately defined downstream clinical task.,0,No,7,§4.1 Experiment preparation,Only training hardware is reported; per protocol this does not qualify as Hardware Awareness.,1,Yes,7-13,§4.2–4.4,"The method is evaluated across three distinct BraTS challenge releases, providing explicit cross-dataset generalisation evidence.",1
3,10.1016/j.mri.2020.10.003,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,3. Deep learning approach with CNN(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,2,§2.2,"Training/evaluation uses 3 T data, not ≤64 mT.",0,No,Not reported,Full text review,"No persistent public source-code/model-weight URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"1,4",Abstract; §2.5 Human image interpretation,Two clinical readers independently assessed the same test cases and were compared with CNN performance.,0,No,2,§2.4,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",0,No,2,§2.1–2.3,Single-institution retrospective cohort; no explicit scanner/vendor/external generalisation analysis.,1
4,10.1016/j.mri.2021.10.038,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,4. Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Missing full Methods,"The relevant model-training domain cannot be verified from the partial PDF. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Missing Code Availability/full text,"No accessible persistent model/code URL in the supplied extract. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,2,Abstract,Qualitative clinical-reader assessment directly meets the criterion.,0,No,Not available,Missing full Methods,"Inference/deployment hardware cannot be verified from the partial export. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,2,Abstract,The study prospectively evaluates real clinical data and explicitly analyses multiple acquisition artifacts.,2
5,10.1016/j.bspc.2024.106117,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,5. Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Dataset section inaccessible,"Cannot verify training field strength from supplied partial PDF. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Code availability inaccessible,"No accessible persistent source-code/model-weight URL. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,2,Abstract,Performance is reported for a clearly defined downstream diagnostic classification task (brain tumor type classification).,0,No,6,Results section snippet,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",1,Yes,2,Abstract,Explicit evaluation on two independent MRI datasets and their combination addresses cross-dataset robustness.,2
6,10.1016/j.compeleceng.2022.108105,A deep learning approach for brain tumor classification using MRI images,6. A deep learning approach for brain tumor classification using MRI images - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Full acquisition Methods inaccessible,"Field strength/model training domain cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Code availability inaccessible,"No persistent model/code URL can be verified from the supplied export. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"2,6",Abstract; Dataset,The evaluated output is a defined diagnostic classification task over patient tumor classes.,0,No,Not available,Full Methods inaccessible,"No inference/deployment hardware requirement is accessible. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,6,Dataset section snippet,The real clinical dataset is explicitly multi-centre.,2
7,10.1016/j.compmedimag.2021.102014,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,7. Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,5,Dataset,No model training/fine-tuning at ≤64 mT.,0,No,Not available,Code availability inaccessible,"Persistent public model/code URL cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,"2,5",Abstract; Dataset,The paper evaluates generic segmentation against expert contours; no reader assessment or distinct downstream clinical task is reported.,0,No,Not available,Full Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"3,5",Introduction; Dataset,The paper explicitly discusses exam variability and evaluates data acquired at both 1.5 T and 3 T.,1
8,10.1016/j.media.2022.102428,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,8. Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Acquisition details inaccessible,"≤64 mT training cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Code availability inaccessible,"No persistent public model/code URL can be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"2,4",Abstract; challenge objectives,The challenge includes a clearly defined downstream clinical classification task: pathological vs non-infarct exam.,0,No,Not available,Team-specific Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,4-5,Dataset/challenge sections,The accessible study description is single-centre and does not explicitly analyse scanner/vendor/multicentre variability.,1
9,10.1016/j.diii.2022.06.006,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,9. Deep learning-based super-resolution gradient echo imaging of the pancreas Improvement of image quality and reduction of acquisition t(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,No ≤64 mT model training/fine-tuning.,0,No,Not reported,Full text review,"No persistent public code/model URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"1,3-4",Abstract; Image analysis,Blinded radiologist assessment of lesion detectability and diagnostic confidence directly qualifies.,0,No,Not reported,Full text review,"No explicit inference/deployment device or model-size requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1,Materials and methods,The method is evaluated on real-world clinical acquisitions and lesion cases; this is explicit real-world acquisition evidence.,2
10,10.1016/j.cmpb.2020.105729,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,10. Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Full Methods inaccessible,"Field strength/training domain cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Code availability inaccessible,"No persistent model/code URL can be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,2,Abstract,No radiologist assessment or downstream clinical task is reported.,0,No,Not available,Full Methods inaccessible,"Inference/deployment hardware cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,2,Abstract,Physical in-vitro validation is valuable but does not itself demonstrate the specified real-world data-diversity challenges.,0
