Paper_ID,Title,Year,Field_Strength_Type,Field_Strength_Norm,Architecture_Norm,LMIC_Score,Low_Field_Norm,Resource_Constraints_Norm,Clinical_Validation_Norm,Main_Finding_1,Field_Category
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,Standard-field,Standard-field,CNN,3.0,No,Yes,Multi-reader,"CNN models trained on MIP images of DCE breast MRI achieved diagnostic performance (mean AUC 0.83, best AUC 0.895) comparable to human readers for differentiating benign from malignant lesions.",Multi-scanner standard
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,Standard-field,Standard-field,CNN,2.0,No,No,Multi-reader,DLRecon significantly improved conspicuity of the outer epineurium and visualization of fascicular architecture—two key morphological features for peripheral nerve injury assessment—compared to standard-of-care reconstruction.,Multi-scanner standard
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,standard field,Standard-field,CNN,2.0,No,No,Diagnostic comparison,The deep learning approach really outperformed the GMM method demonstrating superiority of CNN based segmentation,Multi-scanner standard
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,Standard-field,Standard-field,CNN,4.0,No,Yes,Multi-reader,The algorithm significantly improved qualitative image quality,Multi-scanner standard
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,Mixed,Mixed,GAN,4.0,Yes,Yes,Diagnostic comparison,"LowGAN produced high-field like images without banding artifacts which can be
successfully utilized by neuroimaging pipelines.",True cross-field
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,Standard-field,Standard-field,U-Net,3.0,No,Yes,None,Incorporating a subject-specific high-resolution static scan as prior knowledge for fine-tuning significantly improves dynamic MRI super-resolution.,Multi-scanner standard
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,Standard-field,Standard-field,CNN,3.0,No,Yes,Multi-reader,DL super-resolution reconstruction enables 35–42% shorter cine acquisition times without degrading cardiac functional measurements.,Multi-scanner standard
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,Standard-field,Standard-field,CNN,3.0,No,Yes,Diagnostic comparison,Super-resolution combined with vWERP significantly reduced relative pressure estimation error (from 23.3% in Low Res to 11.0% in Super Res) compared to CFD ground truth.,Multi-scanner standard
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,Low field (64 mT) and Standard field (3 T),Low-field,U-Net,4.0,Yes,Yes,None,"Model 1.2 (With noise added in both signal and image domain) performed better than Model 1.1 (Noise added in signal domain only), and Model 2.2(Two U-Net layers) performs better than Model 2.1 (one U-Net layer) because predicted images from these models have lower NRMSEs, higher PSNRs, and higher SSIMs values.",True cross-field
22,Digital Image Enhancement using Conventional Neural Network,2023,Mixed,Mixed,CNN,3.0,Yes,No,None,"The SRCNN method learns the mapping from low-resolution to high-resolution images from scratch, with minimal pre- and post-processing for optimization.",True cross-field
