Section,Row,Column,Value
Dataset Type Counts,,,
Dataset Type Counts,Public benchmark,Count,18
Dataset Type Counts,Public benchmark,Percentage,35.3%
Dataset Type Counts,Mixed,Count,14
Dataset Type Counts,Mixed,Percentage,27.5%
Dataset Type Counts,Clinical,Count,11
Dataset Type Counts,Clinical,Percentage,21.6%
Dataset Type Counts,Synthetic,Count,4
Dataset Type Counts,Synthetic,Percentage,7.8%
Dataset Type Counts,Other,Count,2
Dataset Type Counts,Other,Percentage,3.9%
Dataset Type Counts,Not reported,Count,1
Dataset Type Counts,Not reported,Percentage,2.0%
Dataset Type Counts,Private,Count,1
Dataset Type Counts,Private,Percentage,2.0%
Dataset x Architecture,,,
Dataset x Architecture,Clinical,CNN,8
Dataset x Architecture,Clinical,Diffusion,0
Dataset x Architecture,Clinical,GAN,2
Dataset x Architecture,Clinical,Hybrid,0
Dataset x Architecture,Clinical,Non-AI,1
Dataset x Architecture,Clinical,Other,0
Dataset x Architecture,Clinical,Transformer,0
Dataset x Architecture,Clinical,U-Net,0
Dataset x Architecture,Clinical,All,11
Dataset x Architecture,Mixed,CNN,7
Dataset x Architecture,Mixed,Diffusion,0
Dataset x Architecture,Mixed,GAN,1
Dataset x Architecture,Mixed,Hybrid,2
Dataset x Architecture,Mixed,Non-AI,0
Dataset x Architecture,Mixed,Other,1
Dataset x Architecture,Mixed,Transformer,0
Dataset x Architecture,Mixed,U-Net,3
Dataset x Architecture,Mixed,All,14
Dataset x Architecture,Not reported,CNN,0
Dataset x Architecture,Not reported,Diffusion,0
Dataset x Architecture,Not reported,GAN,0
Dataset x Architecture,Not reported,Hybrid,1
Dataset x Architecture,Not reported,Non-AI,0
Dataset x Architecture,Not reported,Other,0
Dataset x Architecture,Not reported,Transformer,0
Dataset x Architecture,Not reported,U-Net,0
Dataset x Architecture,Not reported,All,1
Dataset x Architecture,Other,CNN,0
Dataset x Architecture,Other,Diffusion,0
Dataset x Architecture,Other,GAN,0
Dataset x Architecture,Other,Hybrid,0
Dataset x Architecture,Other,Non-AI,0
Dataset x Architecture,Other,Other,1
Dataset x Architecture,Other,Transformer,0
Dataset x Architecture,Other,U-Net,1
Dataset x Architecture,Other,All,2
Dataset x Architecture,Private,CNN,0
Dataset x Architecture,Private,Diffusion,0
Dataset x Architecture,Private,GAN,0
Dataset x Architecture,Private,Hybrid,0
Dataset x Architecture,Private,Non-AI,0
Dataset x Architecture,Private,Other,0
Dataset x Architecture,Private,Transformer,0
Dataset x Architecture,Private,U-Net,1
Dataset x Architecture,Private,All,1
Dataset x Architecture,Public benchmark,CNN,7
Dataset x Architecture,Public benchmark,Diffusion,1
Dataset x Architecture,Public benchmark,GAN,1
Dataset x Architecture,Public benchmark,Hybrid,3
