Paper_ID,Manual_Review_Reason,Title,Year,Dataset_Size,Dataset_Type,Dataset_Type_Norm_Corrected,Dataset_Real_Simulated,Input_Resolution,Target_Resolution,Resolution_Evidence,Sequence_Summary,Contrast_Summary,Dataset_Public_Availability,Dataset_Availability_Evidence,Input_Field_Category,Target_Field_Category,Field_Pair_Category,Ground_Truth_Type,Paired_Unpaired,Field_Evidence,Field_Manual_Review,Training_Data_Source
1,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,"BRATS 2013: 30 patients (20 HGG, 10 LGG); BRATS 2015: 274 cases (220 HGG, 54 LGG); BRATS 2017: 431 cases (210 HGG, 75 LGG, 146 testing); BRATS 2018: 476 cases (210 HGG, 75 LGG, 191 testing)",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,"Public BRATS series datasets (2013, 2015, 2017, 2018) of HGG and LGG brain tumor MRI"
2,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,"BraTS2017, 2018, and 2019 datasets",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Multi-contrast,Publicly available,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"Public BraTS2017, BraTS2018, and BraTS2019 multimodal brain tumor MRI datasets"
3,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,"For the training and validation phase, we used a total set of 286 images (31 normal, 75 benign, and 180 malignant cases). For the test phase, a total of 72 images (12 normal, 13 benign, and 47 malignant cases) were used.",Clinical,Clinical,Real,Not reported,Not reported,Not reported,T1-weighted; DCE,Contrast-enhanced/DCE; Fat-suppressed; Phase/velocity,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,"epoch training and basic augmentation. dataset size is modest and from a single 3t scanner, which may limit robustness; no external validation is described. | deep-learning approach with convolutional n",Yes,Retrospective DCE breast MRI maximum intensity projections from a single hospital (Tokyo Medical and Dental University) acquired between January 2014 and December 2018.
4,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,"29 subjects, 60 peripheral nerves, 60 axial 2D intermediate-weighted FSE sequences",Clinical,Clinical,Real,Not reported,Not reported,Not reported,T2-weighted; FSE,Fat-suppressed,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"Previously trained on pairs of conventional MR images and ‘near-perfect’ images using four million unique image pairs from diverse anatomies, contrasts, and coil configurations"
5,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"Two MRI datasets of brain images containing four classes (glioma, meningioma, pituitary, and healthy), combined and also used separately; specific dataset names and sources not reported in the provided text"
6,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,A deep learning approach for brain tumor classification using MRI images,2022,"233 patients, 3064 T1-weighted enhanced contrast brain MRI scans",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,T1-weighted,Contrast-enhanced/DCE,Publicly available,"ction or detailed discussion of limitations of the proposed model (e.g., single public dataset, lack of external or clinical validation).",Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,"Public Figshare brain tumor dataset by Cheng et al., collected from 233 patients at two state-owned hospitals in Guangzhou and Tianjin, China between 2005 and 2010"
7,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,"195 DE-MRI examinations , 1323 DE-MRI slices, 904 slices with infarcted areas",Clinical,Clinical,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"Single center data from the University Hospital of Dijon, France"
8,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,"150 exams (50 non-infarct, 100 with myocardial infarction)",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,"EMIDEC dataset from University Hospital of Dijon, France; short-axis DE-MRI with associated clinical characteristics"
9,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,"50 MRI examinations, 80 Slices",Clinical,Clinical,Real,Not reported,Not reported,Not reported,GRE,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"The data for this retrospective, single-center (monocentric) study was obtained from patients who underwent clinically indicated MRI examinations at the Eberhard Karls University Tuebingen in Germany"
10,target field unresolved,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,Not reported,Synthetic,Synthetic,Mixed,Not reported,Not reported,Not reported,4D-flow,Phase/velocity,Not reported,Not reported,Synthetic/derived (field unresolved),Unknown,standard/high-field only,Paired measured/reference,Paired,,Yes,Synthetic data from CFD simulations of an idealized intracranial aneurysm and a cylinder wake. In-vitro data from a silicone phantom model scanned with a 7T MRI system and validated with PIV.
