Paper_ID,Title,Year,Architecture_Norm,LMIC_Score,Resource_Constraints_Norm,mentions_model_size,mentions_inference_time,meets_size_threshold,meets_inference_threshold,edge_deployment_candidate,model_size_text,inference_text
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,Hybrid,2.0,No,True,False,False,False,False,"2018), outperforming MSVM, KNN, and ensemble classifiers. | The paper notes that fusion of DRLBP and CNN features increases computational time, and that patch-based CNN models can lose core informatio",
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,U-Net,2.0,No,False,False,False,False,False,,
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,CNN,3.0,Yes,False,False,False,False,True,,
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,CNN,2.0,No,True,False,False,False,False,"e and heterogeneous anatomy and imaging parameters, which increased variability in acquired data. Only a single contrast (2D intermediate-weighted FSE) was evaluated, whereas heavily T2-weighted fat-s",
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Hybrid,3.0,Yes,True,True,False,True,True,"the Second dataset, and 99.1 % on the combination of both datasets for four-class brain tumor classification (glioma, meningioma, pituitary, healthy). Reported recall, specificity, precision, and F1 s","3 % on the First dataset, 98.2 % on the Second dataset, and 99.1 % on the combination of both datasets for four-class brain tumor classification (glioma, meningioma, pituitary, healthy). Reported reca"
6,A deep learning approach for brain tumor classification using MRI images,2022,Hybrid,3.0,Yes,False,False,False,False,True,,
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,CNN,2.0,No,False,False,False,False,False,,
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,U-Net,2.0,No,True,False,False,False,False,"rated complex pipelines with additional parameters | Paper presents a challenge overview aggregating multiple methods rather than a single model; clinical data were included alongside imaging, which i",
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,CNN,4.0,Yes,False,False,False,True,True,,
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,CNN,3.0,Yes,False,False,False,False,True,,
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,GAN,4.0,Yes,False,True,False,False,True,,"clinically relevant volumes. Also, for MS, this study assures that portable low field MRI could play a role in point-of-care diagnosis, screening, triage, or follow-up in cases where typical, particu"
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Diffusion,2.0,No,False,False,False,False,False,,
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,U-Net,3.0,Yes,False,False,False,False,True,,
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,CNN,4.0,Yes,False,False,False,False,True,,
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,CNN,1.0,Yes,False,False,False,True,True,,
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,CNN,3.0,Yes,False,False,False,False,True,,
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,CNN,2.0,No,False,False,False,False,False,,
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,CNN,3.0,Yes,True,False,False,False,True,d pressure) for in-vivo data; limited number of in-silico training models (n=4).,
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,CNN,3.0,No,True,False,False,False,False,the highest overal accuracy of 91.65% combined SMOTE and Gaussian filter. | Not reported in the provided excerpt.,
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,U-Net,4.0,Yes,True,False,False,False,True,of either a single U- Net layer or a combination of two U-Net layers. This approach combined mean squared error (LMSE) and perceptual loss functions (LVGG) as the loss function for the network. | PSN,
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,CNN,3.0,No,True,False,False,False,False,"duals, which creates a higher level of ambiguity. The method does not clearly show how the Digital twins and the sensor information work in tandem, but it clearly shows how the convolution using the n",
22,Digital Image Enhancement using Conventional Neural Network,2023,CNN,3.0,No,False,False,False,False,False,,
