Paper_ID,Title,Field_Strength_Type,Input_Field_Category,Target_Field_Status,Target_Field_Strength,Target_Field_Category,Field_Pair_Category,Ground_Truth_Type,Paired_Unpaired,Field_Evidence,Target_Field_Evidence_Page,Target_Field_Evidence_Section,Target_Field_Evidence_Source
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Not reported,Not reported,No distinct target field applies to this study design.,5 | 1 | 3 | 5,"§4.1 Dataset description, Table 2 | Introduction | Segmentation method | §4.1",Full-text article or supplied publisher text
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Not reported,Not reported,No distinct target field applies to this study design.,7 | 7 | 7 | 2,§4.2 Datasets | §4.3 Implementation details | §4.2 Datasets | Fig. 1 caption,Full-text article or supplied publisher text
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,Standard-field,Unknown,Not applicable,Not applicable,Not applicable,standard/high-field only,Not reported,Not reported,No distinct target field applies to this study design.,2 | 2 | 2,§2.2 Magnetic resonance imaging | §2.3 Data set | §2.1 Patients,Full-text article or supplied publisher text
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,Standard-field,Unknown,Not available,Not available,Not available,Unclear,Not reported,Not reported,Target field strength could not be verified from the available publisher text.,2 | 5 | 4,Abstract | Data availability | Section snippet: Study design/results,Full-text article or supplied publisher text
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Unclear,Not reported,Not reported,No distinct target field applies to this study design.,2 | 5 | 6,Abstract | Figure 1 / workflow text | Results section snippet,Full-text article or supplied publisher text
6,A deep learning approach for brain tumor classification using MRI images,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Unclear,Not reported,Not reported,No distinct target field applies to this study design.,6 | 6,Dataset section snippet | Dataset section snippet,Full-text article or supplied publisher text
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,standard field,Unknown,Not applicable,Not applicable,Not applicable,standard/high-field only,Not reported,Not reported,No distinct target field applies to this study design.,5 | 2 | 2,Dataset section snippet | Abstract | Introduction/Fig. 1,Full-text article or supplied publisher text
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Unclear,Not reported,Not reported,No distinct target field applies to this study design.,2 | 4 | 1,Abstract | DE-MRI and clinical information | Highlights,Full-text article or supplied publisher text
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,Standard-field,Unknown,Explicitly reported,1.5 T,Standard/high-field,standard/high-field only,Not reported,Not reported,1.5 T,1 | 3 | 1,Abstract | Table 2 | Abstract,Full-text article or supplied publisher text
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,High-field,Synthetic/derived (field unresolved),Not available,Not available,Not available,Unclear,Paired measured/reference,Paired,Target field strength could not be verified from the available publisher text.,2 | 2,Abstract | Abstract,Full-text article or supplied publisher text
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,Mixed,≤64 mT,Explicitly reported,3 T,Standard/high-field,low-field → standard/high-field,Paired measured/reference,Paired,3 T,2 | 4 | 5 | 6,Abstract | MRI Scanning Procedures | Training and Validation Datasets | Data Availability,Full-text article or supplied publisher text
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,Not_specified,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Target field strength was not reported in the available full text.,2 | 2 | 3 | 8,§3.1 Data | §3.1 Data | Implementation | Data availability,Full-text article or supplied publisher text
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,Standard-field,Unknown,Explicitly reported,3 T for subject-specific dynamic evaluation,Standard/high-field,standard/high-field only,Not reported,Not reported,3 T for subject-specific dynamic evaluation,3 | 3 | 7,Table 1 | §2.1 Data | Results,Full-text article or supplied publisher text
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,Mixed,Unknown,Not available,Not available,Not available,Unclear,Not reported,Not reported,Target field strength could not be verified from the available publisher text.,2 | 2 | 6,Method | Results/Conclusion | Network parameter setting snippet,Full-text article or supplied publisher text
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,Not_specified,Unknown,Not available,Not available,Not available,Unclear,Synthetic degradation/proxy,Paired by construction,Target field strength could not be verified from the available publisher text.,2 | 6 | 2,Abstract/Results | Experimental settings | Abstract,Full-text article or supplied publisher text
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,Standard-field,Unknown,Explicitly reported,3.0 T,Standard/high-field,standard/high-field only,Not reported,Not reported,3.0 T,1 | 3 | 3 | 3-4,Abstract | CMR protocol / SR network | SR reconstruction | Objective/Subjective image analysis,Full-text article or supplied publisher text
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,Not_specified,Unknown,Not reported,Not reported,Not reported,Not reported,Synthetic degradation/proxy,Paired by construction,Target field strength was not reported in the available full text.,3 | 3 | 3,§IV-A Process of Training Set | Experiments | Experiments,Full-text article or supplied publisher text
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",Standard-field,>64 mT,Explicitly reported,3 T for in-vivo acquired reference comparisons,Standard/high-field,standard/high-field only,Measured/reference stated,Not reported,3 T for in-vivo acquired reference comparisons,3 | 4 | 8 | 3,Fig. 2 | §2.2.2 | Fig. 5 caption | §2.1.1,Full-text article or supplied publisher text
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Synthetic degradation/proxy,Paired by construction,No distinct target field applies to this study design.,2 | 2 | 4,§III Dataset | §III Dataset | Reference [8],Full-text article or supplied publisher text
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,Low field (64 mT) and Standard field (3 T),Unknown,Explicitly reported,1.5 T/3 T source images used as high-quality references for simulated pairs,Mixed/conditional,Mixed,Not reported,Not reported,1.5 T/3 T source images used as high-quality references for simulated pairs,"1,3,4",Abstract; Training and testing; Table II,Full-text article or supplied publisher text
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,Not_specified,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Target field strength was not reported in the available full text.,"1,9,10",Affiliations; Experimental setting; Subjective evaluation,Full-text article or supplied publisher text
22,Digital Image Enhancement using Conventional Neural Network,Mixed,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Not reported,Not reported,No distinct target field applies to this study design.,1-5,Introduction; literature review; examples; references,Full-text article or supplied publisher text
23,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,Not_specified,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Target field strength was not reported in the available full text.,"1,2,7",Abstract; Dataset description; experiments,Full-text article or supplied publisher text
24,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,Low-Field,Unknown,Explicitly reported,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,≤64 mT,low-field → low-field,Synthetic degradation/proxy,Paired by construction,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,"1,3,5,6",Abstract; Training data; Acquisition; patient evaluation,Full-text article or supplied publisher text
25,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,Low-field,>64 mT,Explicitly reported,Approximately 50 mT reconstructed image/field-map target,≤64 mT,low-field → low-field,Synthetic degradation/proxy,Paired by construction,Approximately 50 mT reconstructed image/field-map target,"1,5,6",Abstract; Simulation Training Data; experiments,Full-text article or supplied publisher text
26,Multi-Contrast Super-Resolution MRI Through a Progressive Network,Not_specified,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Target field strength was not reported in the available full text.,"5,10",Dataset description; reader study,Full-text article or supplied publisher text
27,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Target field strength was not reported in the available full text.,"1,6",Abstract; Experimental setup,Full-text article or supplied publisher text
28,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,1.5 and 3T MRI,Unknown,Not applicable,Not applicable,Not applicable,Not available,Measured/reference stated,Not reported,No distinct target field applies to this study design.,1-7,Abstract; Introduction; Methodology snippets; preprocessing,Full-text article or supplied publisher text
29,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,1.5T and 3T MRI scanners,Synthetic/derived (field unresolved),Not available,Not available,Not available,Not available,Synthetic degradation/proxy,Paired by construction,Target field strength could not be verified from the available publisher text.,1,PDF identity check,Full-text article or supplied publisher text
30,Transfer learning in deep neural network based under-sampled MR image reconstruction,1.5T and 3T,>64 mT,Explicitly reported,Same field strength as each corresponding fully sampled reference,Standard/high-field,standard/high-field only,Measured/reference stated,Not reported,Same field strength as each corresponding fully sampled reference,"1,3-5",Abstract; Methods; dataset descriptions,Full-text article or supplied publisher text
