Analysis,Scoring_Form_ID,Mean_pairwise_agreement,Majority_share,Modal_score,Unanimous,Title
LMIC_Relevance_Score,1,0.8181818181818182,0.9090909090909091,5,False,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images
LMIC_Relevance_Score,2,0.5636363636363636,0.7272727272727273,5,False,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction
LMIC_Relevance_Score,3,0.4909090909090909,0.6363636363636364,1,False,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging
LMIC_Relevance_Score,4,1.0,1.0,1,True,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm
LMIC_Relevance_Score,5,0.5272727272727272,0.7272727272727273,5,False,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier
LMIC_Relevance_Score,6,0.6727272727272727,0.8181818181818182,5,False,A deep learning approach for brain tumor classification using MRI images
LMIC_Relevance_Score,7,0.8181818181818182,0.9090909090909091,3,False,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI
LMIC_Relevance_Score,8,0.2909090909090909,0.45454545454545453,3,False,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge
LMIC_Relevance_Score,9,0.38181818181818183,0.5454545454545454,4,False,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time
LMIC_Relevance_Score,10,1.0,1.0,1,True,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets
LMIC_Relevance_Score,11,0.8181818181818182,0.9090909090909091,5,False,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data
LMIC_Relevance_Score,12,0.4909090909090909,0.6363636363636364,5,False,Super-resolution of brain MRI images based on denoising diffusion probabilistic model
LMIC_Relevance_Score,13,0.5272727272727272,0.7272727272727273,1,False,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge
LMIC_Relevance_Score,14,0.43636363636363634,0.6363636363636364,5,False,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN
LMIC_Relevance_Score,15,0.34545454545454546,0.5454545454545454,5,False,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning
LMIC_Relevance_Score,16,0.8181818181818182,0.9090909090909091,1,False,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance
LMIC_Relevance_Score,17,1.0,1.0,5,True,Convolutional Neural Network-based Enhancement Method of 3D MRI
LMIC_Relevance_Score,18,0.5272727272727272,0.7272727272727273,1,False,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure"
LMIC_Relevance_Score,19,1.0,1.0,5,True,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters
LMIC_Relevance_Score,20,0.8181818181818182,0.9090909090909091,4,False,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI
