Paper_ID,Title,PSNR_Reported,SSIM_Reported,PSNR_or_SSIM_Reported,Paired_Unpaired,Ground_Truth_Type,Field_Pathway,PSNR_SSIM_Comparison_Eligibility,PSNR_SSIM_Eligibility_Reason,Field_Evidence
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,No,No,No,Not reported,Not reported,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,Target field strength could not be verified from the available publisher text.
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
6,A deep learning approach for brain tumor classification using MRI images,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,No,No,No,Not reported,Not reported,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,No,No,No,Not reported,Not reported,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,1.5 T
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,No,No,No,Paired,Paired measured/reference,Not reported,Not reported,Neither PSNR nor SSIM was reported.,Target field strength could not be verified from the available publisher text.
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,No,No,No,Paired,Paired measured/reference,low-field → standard/high-field,Not reported,Neither PSNR nor SSIM was reported.,3 T
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength was not reported in the available full text.
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,Yes,Yes,Yes,Not reported,Not reported,standard/high-field only,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,3 T for subject-specific dynamic evaluation
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength could not be verified from the available publisher text.
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,Yes,No,Yes,Paired by construction,Synthetic degradation/proxy,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength could not be verified from the available publisher text.
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,No,No,No,Not reported,Not reported,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,3.0 T
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,Yes,Yes,Yes,Paired by construction,Synthetic degradation/proxy,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength was not reported in the available full text.
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",No,No,No,Not reported,Measured/reference stated,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,3 T for in-vivo acquired reference comparisons
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,No,No,No,Paired by construction,Synthetic degradation/proxy,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,Yes,Yes,Yes,Not reported,Not reported,Mixed,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,1.5 T/3 T source images used as high-quality references for simulated pairs
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength was not reported in the available full text.
22,Digital Image Enhancement using Conventional Neural Network,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,No distinct target field applies to this study design.
23,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,Target field strength was not reported in the available full text.
24,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,No,No,No,Paired by construction,Synthetic degradation/proxy,low-field → low-field,Not reported,Neither PSNR nor SSIM was reported.,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison
25,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,No,No,No,Paired by construction,Synthetic degradation/proxy,low-field → low-field,Not reported,Neither PSNR nor SSIM was reported.,Approximately 50 mT reconstructed image/field-map target
26,Multi-Contrast Super-Resolution MRI Through a Progressive Network,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength was not reported in the available full text.
27,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,Yes,Yes,Yes,Not reported,Not reported,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength was not reported in the available full text.
28,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,Yes,Yes,Yes,Not reported,Measured/reference stated,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,No distinct target field applies to this study design.
29,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,No,Yes,Yes,Paired by construction,Synthetic degradation/proxy,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Target field strength could not be verified from the available publisher text.
30,Transfer learning in deep neural network based under-sampled MR image reconstruction,Yes,Yes,Yes,Not reported,Measured/reference stated,standard/high-field only,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,Same field strength as each corresponding fully sampled reference
31,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,No,No,No,Paired,Paired measured/reference,Mixed,Not reported,Neither PSNR nor SSIM was reported.,0.4 T-derived enhanced output; 3 T high-quality data used for training reference
32,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,Yes,Yes,Yes,Paired,Paired measured/reference,low-field → standard/high-field,Eligible,Reported metric has explicit paired/reference and field-pathway evidence.,3 T measured same-subject target/reference
33,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,No,No,No,Not reported,Not reported,low-field → standard/high-field,Not reported,Neither PSNR nor SSIM was reported.,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image
34,Deep learning-based single image super-resolution for low-field MR brain images,Yes,Yes,Yes,Not reported,Measured/reference stated,Mixed,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan"
35,Deep learning for fast low-field MRI acquisitions,Yes,Yes,Yes,Paired by construction,Synthetic degradation/proxy,low-field → low-field,Eligible,Reported metric has explicit paired/reference and field-pathway evidence.,0.1 T same-acquisition fully sampled reference
36,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,No,No,No,Not reported,Not reported,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,3.0 T
37,Super resolution using sparse sampling at portable ultra-low field MR,No,No,No,Paired by construction,Synthetic degradation/proxy,low-field → low-field,Not reported,Neither PSNR nor SSIM was reported.,64 mT-derived FouSR output; paired 3 T measured reference
38,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,No,No,No,Paired by construction,Synthetic degradation/proxy,low-field → standard/high-field,Not reported,Neither PSNR nor SSIM was reported.,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic
39,MRI Super-Resolution With Ensemble Learning and Complementary Priors,Yes,Yes,Yes,Not reported,Not reported,standard/high-field only,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,1.5 T or 3 T measured HR reference
40,SRflow: Deep learning based super-resolution of 4D-flow MRI data,No,No,No,Paired by construction,Synthetic degradation/proxy,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data
41,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,Yes,Yes,Yes,Paired by construction,Synthetic degradation/proxy,Not reported,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments
42,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,No,No,No,Paired by construction,Synthetic degradation/proxy,standard/high-field only,Not reported,Neither PSNR nor SSIM was reported.,3 T customized Siemens Connectome Skyra
43,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,Yes,Yes,Yes,Paired by construction,Synthetic degradation/proxy,low-field → low-field,Eligible,Reported metric has explicit paired/reference and field-pathway evidence.,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength
44,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
45,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
46,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,Yes,No,Yes,Not reported,Not reported,standard/high-field only,Not eligible,Reported metric lacks explicit paired/reference or field-pathway evidence.,No distinct target field applies to this study design.
47,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
48,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,No,No,No,Not reported,Not reported,Not reported,Not reported,Neither PSNR nor SSIM was reported.,No distinct target field applies to this study design.
