Group,N,mean,median,min,max,Group_Type
Hybrid,6,1.5,2.0,0,2,Architecture
GAN,3,1.3333333333333333,0.0,0,4,Architecture
U-Net,12,1.25,1.0,0,3,Architecture
CNN,22,1.1818181818181819,1.0,0,3,Architecture
Diffusion,1,0.0,0.0,0,0,Architecture
Transformer,1,0.0,0.0,0,0,Architecture
Pediatric,1,2.0,2.0,2,2,Application
Other,1,2.0,2.0,2,2,Application
Prostate,1,2.0,2.0,2,2,Application
Flow,3,1.6666666666666667,2.0,0,3,Application
Abdominal,2,1.5,1.5,1,2,Application
Brain,22,1.2272727272727273,1.0,0,4,Application
Musculoskeletal,7,1.0,1.0,0,2,Application
General,4,0.75,1.0,0,1,Application
Cardiac,4,0.75,1.0,0,1,Application
