Paper_ID,Title,Year,Architecture_Norm_Corrected,Application_Norm,LMIC_Score,TR_LowFieldDomain,TR_OpenScience,TR_ClinicalEvaluation,TR_HardwareAwareness,TR_DataDiversity,TR_Score,TR_LowFieldDomain_Status,TR_Manual_Review,TR_LowFieldDomain_Evidence,TR_ClinicalEvaluation_Evidence,TR_HardwareAwareness_Evidence,TR_DataDiversity_Evidence
1,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,Hybrid,Brain,2,0,0,0,0,1,1,No,Yes,,,,"ccuracy. no explicit discussion of generalization to non-brats clinical data or scanner variability is provided. | the proposed sbdl saliency-based segmentation method, combined with pial contrast enhancemen"
2,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,U-Net,Brain,2,0,0,0,1,1,2,No,Yes,,,,"e metrics (e.g., dice, hausdorff). | the paper notes general challenges such as heterogeneity of brain tumors, loss of spatial information due to pooling and upsampling, and underutilization of boundary informa"
3,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,CNN,General,3,0,0,1,0,1,2,No,Yes,,multi-reader two human readers (a breast surgeon and an experienced breast radiologist) independently interpreted the same 72 mip test images using bi-rads categories. their diagnostic performance (auc 0.83,,"ch training and basic augmentation. dataset size is modest and from a single 3t scanner, which may limit robustness; no external validation is described. | the authors note several limitations: (1) relativel"
4,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,CNN,Musculoskeletal,2,0,0,1,1,1,3,No,Yes,,"multi-reader two radiologists, blinded to reconstruction type, independently graded 60 peripheral nerve mris for outer epineurium conspicuity, fasci",,"set composition is not specified. | the authors note a moderate sample size and heterogeneous anatomy and imaging parameters, which increased variability in acquired data. only a single contrast (2d intermediat"
5,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Hybrid,Brain,3,0,0,0,1,0,1,No,Yes,,,,
6,A deep learning approach for brain tumor classification using MRI images,2022,Hybrid,Brain,3,0,0,0,0,0,0,No,Yes,"u and tianjin, china between 2005 and 2010 | public_benchmark | 233 patients, 3064 t1-weighted enhanced contrast brain mri scans | using 5-fold cross-validation with 70% training and 30% validation, the p",,,; no psnr/ssim or image reconstruction metrics are reported. field strength and scanner details are not specified beyond being t1-weighted enhanced images from two chinese hospitals. | the paper notes genera
7,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,CNN,Cardiac,2,0,0,1,1,0,2,No,Yes,,diagnostic comparison results reveal that the proposal has a very similar performance to the inter observer variation study and re,,
8,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,U-Net,Cardiac,2,0,0,1,1,0,2,No,Yes,,ic classification between infarct and non-infarct exams is feasible; myocardium segmentation is reliable; scar and pmo segmentation remains challenging,,
9,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,CNN,Abdominal,4,0,0,1,0,1,2,No,Yes,,"multi-reader two radiologists rated the super-resolution images significantly better than standard images across all qualitative categories, includi",,
10,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,CNN,Flow,3,0,0,0,1,0,1,No,Yes," high-resolution in-vitro piv data, the method produced qualitatively superior flow fields compared to raw 4d-flow mri. however, quantitative error metrics (vnrmse) showed only a 50% improvement, indicating a ",,,
11,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,GAN,Brain,4,1,1,1,0,1,4,Yes,Yes,"is | hospital of the university of pennsylvania and nih clinical center/ paired 64mt (hyperfine swoop) and 3t (siemens) clinical scans from penn and nih | clinical | 49 ms patients (37 training, 12 testin",diagnostic comparison synthetic outputs did not artificially generate or obscure white-matter lesions present in the original low-,,"hat maintain clinically relevant volumes. also, for ms, this study assures that portable low field mri could play a role in point-of-care diagnosis, screening, triage, or follow-up in cases where typical, par"
12,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Diffusion,Brain,2,0,0,0,0,0,0,No,Yes,,,,
13,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,U-Net,Abdominal,3,0,1,0,0,0,1,No,Yes,,,,
14,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,CNN,Brain,4,0,0,0,1,1,2,No,Yes,,,,neralization when applied to an unlearned dataset (ixi) acquired with different scanners and field strengths.
15,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,CNN,Musculoskeletal,1,0,0,0,1,0,1,No,Yes,,,"d super resolution benchmarks (scale ×3), the method reports psnr 36.220 db and runtime 0.236 s, outperforming bicubic (32.898 db), scn (33.914 db), srcnn (33.680 db), and espcn (35.131 db). | outdated sr ba",
16,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,CNN,Other,3,0,0,1,1,1,3,No,Yes,," and standard cine; subjective quality remained excellent, supporting preserved diagnostic utility despite faster acquisition.",,
17,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,CNN,Brain,2,0,0,0,0,1,1,No,Yes,,,," learning. | does the model generalize to real mri noise/artifacts (bias field, motion) not present in the simulation? | evaluated only on simulated/synthetic data (brainweb); no real clinical data validati"
18,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,CNN,Flow,3,0,1,1,0,1,3,No,Yes,,"diagnostic_comparison uper-resolution reduced pressure estimation error from 23.3% (lr) to 11.0% (sr) relative to cfd. in-vivo, it",,patient-specific cfd models and in-vivo data from 3t scanner | mixed | 4dflownet achieved low relative error for velocity (15%) and flow (6.6%) against cfd ground truth. coupled wi
19,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,CNN,Brain,3,0,0,0,0,0,0,No,Yes,,,,
20,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,U-Net,General,4,0,0,0,0,1,1,Unclear,Yes,"-based method for denoising and image enhancement in low-field mri | low field (64 mt) and standard field (3 t) | denoising + sr | prostatex, prostate-3t, prostate fused-mri-pathology, prostate-diagnosis a",,"utperformed both stage1 and 2 independent implementations. | cnr values for the inference and original images are higher for inference than original image for all four cases, which is concordant with the visua",
21,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,CNN,Musculoskeletal,3,0,0,0,0,1,1,No,Yes,,,,
22,Digital Image Enhancement using Conventional Neural Network,2023,CNN,General,3,0,1,0,0,0,1,No,Yes,,,,
24,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021,Hybrid,Brain,3,0,0,0,0,0,0,No,Yes,,,,
25,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,Hybrid,Brain,5,0,0,1,1,1,3,No,Yes,pushing the limits of low-cost ultra-low-field mri by dual-acquisition deep learning 3d superresolution | low-field | denoising+sr | e wu-minn human connectome projec,"radiologist_visual fine anatomical details of were restored with intrasubject reproducibility, intercontrast consistency, and confi",,"rather than hallucination. | the approach demonstrates feasibility of low-cost, portable mri systems for clinical brain imaging with total scan times under 20 minutes."
26,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,U-Net,Musculoskeletal,4,0,0,0,0,1,1,No,Yes,joint b0b0​ and image reconstruction in low-field mri by physics-informed deep-learning | low-field | denoising and distortion correction in low‑field mri | three-dimens,,,"ility. no clinical evaluation or in-vivo low-field validation was performed, so generalizability to real-world low-field scans is uncertain. | authors note the use of simulated data only and plan future work w"
27,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020,Hybrid,Brain,3,0,0,0,0,0,0,No,Yes,,,,ed to a specific dataset; lack of clinical validation and evaluation on diverse scanners. | progressive multi-contrast learning significantly improves mri super-resolution performance compared to single-cont
28,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021,GAN,General,3,0,0,0,0,1,1,No,Yes,,,,"on focuses on image quality metrics, with no assessment of diagnostic impact or generalization | the fused attention architecture (local feature fusion + global feature fusion with channel and self-attention) "
30,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,U-Net,Cardiac,3,0,0,1,0,0,1,No,Yes,,"rt-annotated dataset; qualitative visual validation on unlabeled cases accurate segmentation of lv, myocardium, mi, and mvo; improved detection of infarct regions compared to baseline architectures",,
31,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,U-Net,Brain,3,0,0,0,1,1,2,No,Yes,"weighted mri of healthy subjects | 399 subjects from ixi dataset: 300 training, 50 test, 49 validation | shuffleunet outperforms trilinear interpolation, sinc interpolation, and standard unet on structura",retrospective imaging only no clinical results,hted mris; generalization to other contrasts or sites not evaluated. - requires gpu training (v100) and dl expertise; code and deployment pathway not discussed in detail. | shuffleunet significantly impr,"ixi; no diseased brains, no clinical endpoints. - only diffusion-weighted mris; generalization to other contrasts or sites not evaluated. - requires gpu training (v100) and dl expertise; code and deployment pa"
32,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,U-Net,Brain,4,0,0,0,0,1,1,No,Yes,ation factor. | end-to-end fine-tuning allows knowledge transfer with as few as 50 to 300 new images | u-net,,,"-tuning. | u-net generalization capability is limited when there is a change in scanner, anatomy, or acceleration factor. | end-to-end fine-tuning allows knowledge transfer with as few as 50 to 300 new image"
34,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024,U-Net,Musculoskeletal,3,0,0,1,0,1,2,No,No,enhancement of image quality in low-field knee mr imaging using deep learning | low-field (0.4t) + high-field reference (3t) | sr + image generation/contrast enh,"multi-reader (2 board-certified radiologists), with statistical testing significant gains in perceived quality and reduced noise increased abnormal findings in spe",nections; workflow downsamples 3t to mimic low-field then trains to restore hr; inference upsamples low-field to 448×448 | dl enhancement significantly improves subjective image quality (anatomy depiction and ," objective fidelity metrics (psnr/ssim) or hallucination/safety evaluation, and generalization is limited due to small low-field cohort and lack of paired 0.4t/3t ground truth. | small cohort, onld method, sag"
