Analysis,Weighting,Scoring_Form_ID,Observed_weighted_agreement,Title
LMIC_Relevance_Score,linear,1,0.8181818181818182,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images
LMIC_Relevance_Score,linear,2,0.5636363636363636,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction
LMIC_Relevance_Score,linear,3,0.7454545454545455,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging
LMIC_Relevance_Score,linear,4,1.0,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm
LMIC_Relevance_Score,linear,5,0.6454545454545455,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier
LMIC_Relevance_Score,linear,6,0.6727272727272727,A deep learning approach for brain tumor classification using MRI images
LMIC_Relevance_Score,linear,7,0.9545454545454546,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI
LMIC_Relevance_Score,linear,8,0.5636363636363636,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge
LMIC_Relevance_Score,linear,9,0.6818181818181818,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time
LMIC_Relevance_Score,linear,10,1.0,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets
LMIC_Relevance_Score,linear,11,0.9545454545454546,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data
LMIC_Relevance_Score,linear,12,0.4909090909090909,Super-resolution of brain MRI images based on denoising diffusion probabilistic model
LMIC_Relevance_Score,linear,13,0.8090909090909091,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge
LMIC_Relevance_Score,linear,14,0.5454545454545454,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN
LMIC_Relevance_Score,linear,15,0.5363636363636364,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning
LMIC_Relevance_Score,linear,16,0.9545454545454546,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance
LMIC_Relevance_Score,linear,17,1.0,Convolutional Neural Network-based Enhancement Method of 3D MRI
LMIC_Relevance_Score,linear,18,0.8,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure"
LMIC_Relevance_Score,linear,19,1.0,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters
LMIC_Relevance_Score,linear,20,0.9545454545454546,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI
LMIC_Relevance_Score,linear,21,0.6636363636363637,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image
LMIC_Relevance_Score,linear,22,0.6727272727272727,Digital Image Enhancement using Conventional Neural Network
LMIC_Relevance_Score,linear,23,0.8636363636363636,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network
LMIC_Relevance_Score,linear,24,0.9181818181818182,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution
LMIC_Relevance_Score,linear,25,1.0,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning
LMIC_Relevance_Score,linear,26,0.7818181818181819,Multi-Contrast Super-Resolution MRI Through a Progressive Network
LMIC_Relevance_Score,linear,27,0.509090909090909,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution
LMIC_Relevance_Score,linear,28,0.4727272727272727,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images
LMIC_Relevance_Score,linear,29,0.7363636363636363,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning
LMIC_Relevance_Score,linear,30,0.8636363636363636,Transfer learning in deep neural network based under-sampled MR image reconstruction
LMIC_Relevance_Score,linear,31,1.0,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning
LMIC_Relevance_Score,linear,32,0.9545454545454546,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis
LMIC_Relevance_Score,linear,33,0.9545454545454546,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries
LMIC_Relevance_Score,linear,34,0.9545454545454546,Deep learning-based single image super-resolution for low-field MR brain images
LMIC_Relevance_Score,linear,35,1.0,Deep learning for fast low-field MRI acquisitions
LMIC_Relevance_Score,linear,36,0.8272727272727273,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI
LMIC_Relevance_Score,linear,37,0.9545454545454546,Super resolution using sparse sampling at portable ultra-low field MR
LMIC_Relevance_Score,linear,38,0.8727272727272727,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people
LMIC_Relevance_Score,linear,39,0.7272727272727273,MRI Super-Resolution With Ensemble Learning and Complementary Priors
LMIC_Relevance_Score,linear,40,0.6636363636363637,SRflow: Deep learning based super-resolution of 4D-flow MRI data
LMIC_Relevance_Score,linear,41,0.7272727272727273,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning
LMIC_Relevance_Score,linear,42,0.45454545454545453,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction
LMIC_Relevance_Score,linear,43,0.7545454545454545,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI
LMIC_Relevance_Score,linear,44,0.509090909090909,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor
LMIC_Relevance_Score,linear,45,0.8636363636363636,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning
LMIC_Relevance_Score,linear,46,0.7090909090909091,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images
LMIC_Relevance_Score,linear,47,0.8272727272727273,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images
LMIC_Relevance_Score,linear,48,0.8636363636363636,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network
LMIC_Relevance_Score,quadratic,1,0.8181818181818182,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images
LMIC_Relevance_Score,quadratic,2,0.5636363636363636,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction
LMIC_Relevance_Score,quadratic,3,0.8727272727272727,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging
LMIC_Relevance_Score,quadratic,4,1.0,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm
LMIC_Relevance_Score,quadratic,5,0.6795454545454546,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier
LMIC_Relevance_Score,quadratic,6,0.6727272727272727,A deep learning approach for brain tumor classification using MRI images
LMIC_Relevance_Score,quadratic,7,0.9886363636363636,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI
LMIC_Relevance_Score,quadratic,8,0.7,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge
LMIC_Relevance_Score,quadratic,9,0.825,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time
LMIC_Relevance_Score,quadratic,10,1.0,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets
LMIC_Relevance_Score,quadratic,11,0.9886363636363636,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data
LMIC_Relevance_Score,quadratic,12,0.4909090909090909,Super-resolution of brain MRI images based on denoising diffusion probabilistic model
LMIC_Relevance_Score,quadratic,13,0.9159090909090909,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge
LMIC_Relevance_Score,quadratic,14,0.5795454545454546,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN
LMIC_Relevance_Score,quadratic,15,0.5977272727272728,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning
LMIC_Relevance_Score,quadratic,16,0.9886363636363636,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance
LMIC_Relevance_Score,quadratic,17,1.0,Convolutional Neural Network-based Enhancement Method of 3D MRI
LMIC_Relevance_Score,quadratic,18,0.8909090909090909,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure"
LMIC_Relevance_Score,quadratic,19,1.0,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters
LMIC_Relevance_Score,quadratic,20,0.9886363636363636,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI
LMIC_Relevance_Score,quadratic,21,0.7545454545454545,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image
LMIC_Relevance_Score,quadratic,22,0.6727272727272727,Digital Image Enhancement using Conventional Neural Network
LMIC_Relevance_Score,quadratic,23,0.8977272727272727,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network
LMIC_Relevance_Score,quadratic,24,0.9795454545454545,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution
LMIC_Relevance_Score,quadratic,25,1.0,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning
LMIC_Relevance_Score,quadratic,26,0.8909090909090909,Multi-Contrast Super-Resolution MRI Through a Progressive Network
LMIC_Relevance_Score,quadratic,27,0.5431818181818182,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution
LMIC_Relevance_Score,quadratic,28,0.5636363636363636,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images
LMIC_Relevance_Score,quadratic,29,0.8795454545454545,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning
LMIC_Relevance_Score,quadratic,30,0.8977272727272727,Transfer learning in deep neural network based under-sampled MR image reconstruction
LMIC_Relevance_Score,quadratic,31,1.0,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning
LMIC_Relevance_Score,quadratic,32,0.9886363636363636,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis
LMIC_Relevance_Score,quadratic,33,0.9886363636363636,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries
LMIC_Relevance_Score,quadratic,34,0.9886363636363636,Deep learning-based single image super-resolution for low-field MR brain images
LMIC_Relevance_Score,quadratic,35,1.0,Deep learning for fast low-field MRI acquisitions
LMIC_Relevance_Score,quadratic,36,0.8931818181818182,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI
LMIC_Relevance_Score,quadratic,37,0.9886363636363636,Super resolution using sparse sampling at portable ultra-low field MR
LMIC_Relevance_Score,quadratic,38,0.9681818181818181,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people
LMIC_Relevance_Score,quadratic,39,0.8636363636363636,MRI Super-Resolution With Ensemble Learning and Complementary Priors
LMIC_Relevance_Score,quadratic,40,0.8159090909090909,SRflow: Deep learning based super-resolution of 4D-flow MRI data
LMIC_Relevance_Score,quadratic,41,0.8181818181818182,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning
LMIC_Relevance_Score,quadratic,42,0.48863636363636365,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction
LMIC_Relevance_Score,quadratic,43,0.8159090909090909,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI
LMIC_Relevance_Score,quadratic,44,0.5431818181818182,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor
LMIC_Relevance_Score,quadratic,45,0.8977272727272727,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning
LMIC_Relevance_Score,quadratic,46,0.7431818181818182,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images
