Feature,Permutation_MAE_Increase_Mean,Permutation_MAE_Increase_SD,Splits
Low_Field_Mentioned,0.1127787934653904,0.0789236793693999,50
Is_CNN,0.0166612628668743,0.0219660346357151,50
Has_Clinical_Validation,0.0084105534734083,0.0184624909303226,50
Has_Numeric_Low_Field_Data,0.0015255581794106,0.0040218646042646,50
Code_Available,0.0003585676414368,0.0011453924080259,50
Is_GAN,0.0,0.0,50
Is_Transformer,0.0,0.0,50
Is_Clinical_Data,-0.0031079616043563,0.0074673037523468,50
Is_UNet,-0.0041771287572695,0.0129450701872879,50
Has_PSNR,-0.0068305774916587,0.0173393058147915,50
