Paper_ID,DOI,Title,Year,Dataset_Name_Verified,Dataset_Size,Train_Validation_Test_Split,Dataset_Type,Dataset_Type_Norm_Corrected,Dataset_Real_Simulated,Input_Resolution,Target_Resolution,Resolution_Evidence,Sequence_Summary,Contrast_Summary,Dataset_Public_Availability,Dataset_Availability_Evidence,Input_Field_Category,Input_Field_Strength,Target_Field_Status,Target_Field_Strength,Target_Field_Strength_Detail,Target_Field_Category,Field_Pair_Category,Field_Pathway_Detail,Ground_Truth_Type,Ground_Truth_Source,Paired_Unpaired,Low_Field_Data_Provenance,Field_Evidence,Target_Field_Evidence_Page,Target_Field_Evidence_Section,Target_Field_Evidence_Source,Dataset_Evidence_Page,Dataset_Evidence_Section,Dataset_Evidence_Summary,Dataset_Evidence_Status,Dataset_Evidence_Source,Training_Data_Source
1,10.1016/j.patrec.2019.11.019,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,2020,"BraTS 2013, BraTS 2015, BraTS 2017, BraTS 2018",BraTS2013: 30 cases; BraTS2015: 274; BraTS2017: 431; BraTS2018: 476,Dataset-specific train/test splits reported; classification additionally used 70:30 and 10-fold cross-validation,Public_benchmark,Public benchmark,Real,256 × 256 processed 2D images for the segmentation pipeline; original voxel resolution not reported,Not applicable,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,"T1, T1ce, T2, FLAIR",T1-weighted; contrast-enhanced T1; T2-weighted; FLAIR,Public,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not reported,Not applicable,Not applicable,Not applicable,Not applicable,Not reported,not reported,Clinical annotation,BraTS ground-truth tumor labels,Not applicable,Neither real low-field nor low-field simulation reported,No distinct target field applies to this study design.,5 | 1 | 3 | 5,"§4.1 Dataset description, Table 2 | Introduction | Segmentation method | §4.1",Full-text article or supplied publisher text,5 | 1 | 3 | 5,"§4.1 Dataset description, Table 2 | Introduction | Segmentation method | §4.1",Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,"Public BRATS series datasets (2013, 2015, 2017, 2018) of HGG and LGG brain tumor MRI"
2,10.1016/j.patcog.2024.110553,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction,2024,"BraTS2017, BraTS2018, BraTS2019",Training: 285 / 285 / 335 labeled cases; test: 46 / 66 / 125 unlabeled cases (2017/2018/2019),Official BraTS training/test partitions as reported,Public_benchmark,Public benchmark,Real,Original 155 × 240 × 240; training crop 128 × 128 × 128; testing padded to 160 × 240 × 240,Same voxel grid segmentation mask,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,"T1, T2, FLAIR, T1-C/T1ce",T1-weighted; T2-weighted; FLAIR; contrast-enhanced T1,Public,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not reported,Not applicable,Not applicable,Not applicable,Not applicable,Not reported,not reported,Clinical annotation,BraTS segmentation labels provided by domain experts,Not applicable,Neither real low-field nor low-field simulation reported,No distinct target field applies to this study design.,7 | 7 | 7 | 2,§4.2 Datasets | §4.3 Implementation details | §4.2 Datasets | Fig. 1 caption,Full-text article or supplied publisher text,7 | 7 | 7 | 2,§4.2 Datasets | §4.3 Implementation details | §4.2 Datasets | Fig. 1 caption,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,"Public BraTS2017, BraTS2018, and BraTS2019 multimodal brain tumor MRI datasets"
3,10.1016/j.mri.2020.10.003,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging,2021,Single-institution DCE breast MRI cohort,358 images/cases: 286 training/validation and 72 independent test,Patients randomly divided 4:1; training/validation set split 9:1 per epoch; independent test set,Clinical,Clinical,Real,"512 × 512-pixel craniocaudal MIP; source sequence 512 × 512 matrix, 2-mm sections",Not applicable,Dataset: Real; availability: Private; pairing: Not applicable; ground truth: Clinical annotation.,Bilateral axial fat-suppressed T1-weighted DCE MRI; early-phase MIP,Gadobutrol-enhanced T1-weighted,Private,Dataset: Real; availability: Private; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,3.0 T,Not applicable,Not applicable,Not applicable,Not applicable,standard/high-field only,standard/high-field only,Clinical annotation,Pathology or >1-year follow-up diagnosis (normal/benign/malignant),Not applicable,Real high-field clinical data only; no low-field simulation,No distinct target field applies to this study design.,2 | 2 | 2,§2.2 Magnetic resonance imaging | §2.3 Data set | §2.1 Patients,Full-text article or supplied publisher text,2 | 2 | 2,§2.2 Magnetic resonance imaging | §2.3 Data set | §2.1 Patients,Dataset: Real; availability: Private; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,Retrospective DCE breast MRI maximum intensity projections from a single hospital (Tokyo Medical and Dental University) acquired between January 2014 and December 2018.
4,10.1016/j.mri.2021.10.038,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,2022,Prospective peripheral-nerve MR neurography cohort,29 patients; 60 peripheral nerves,Not applicable,Clinical,Clinical,Real,Not available,Not available,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Axial 2D intermediate-weighted FSE (visible section snippet); full acquisition parameters not available,Intermediate-weighted,Private,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Unknown,Not available,Not available,Not available,Not available,Not available,Unclear,unclear,Measured same-subject reference,Conventional standard-of-care reconstruction used as same-acquisition comparator; not a true gold standard,Paired by construction,Not available,Target field strength could not be verified from the available publisher text.,2 | 5 | 4,Abstract | Data availability | Section snippet: Study design/results,Full-text article or supplied publisher text,2 | 5 | 4,Abstract | Data availability | Section snippet: Study design/results,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Partial text,Full-text article or supplied publisher text,"Previously trained on pairs of conventional MR images and ‘near-perfect’ images using four million unique image pairs from diverse anatomies, contrasts, and coil configurations"
5,10.1016/j.bspc.2024.106117,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier,2024,Two brain MRI classification datasets (names not available in supplied PDF extract),Not available,10-fold cross-validation,Not reported,Not reported,Not available,Not available,Not applicable,Dataset: Not available; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Not available,Not available,Not available,Dataset: Not available; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Unclear,unclear,Clinical annotation,Dataset class labels; provenance not available in supplied extract,Not applicable,Not available,No distinct target field applies to this study design.,2 | 5 | 6,Abstract | Figure 1 / workflow text | Results section snippet,Full-text article or supplied publisher text,2 | 5 | 6,Abstract | Figure 1 / workflow text | Results section snippet,Dataset: Not available; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,"Two MRI datasets of brain images containing four classes (glioma, meningioma, pituitary, and healthy), combined and also used separately; specific dataset names and sources not reported in the provided text"
6,10.1016/j.compeleceng.2022.108105,A deep learning approach for brain tumor classification using MRI images,2022,Cheng et al. brain tumor dataset (Figshare 1512427),"233 patients; 3,064 T1-weighted contrast-enhanced MRI scans",Not available,Public_benchmark,Public benchmark,Real,512 × 512 pixels; voxel spacing 0.49 × 0.49 mm²,Not applicable,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,T1-weighted enhanced MRI,Contrast-enhanced T1-weighted,Public,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Unclear,unclear,Clinical annotation,Tumor class labels from Cheng et al. dataset,Not applicable,Not available,No distinct target field applies to this study design.,6 | 6,Dataset section snippet | Dataset section snippet,Full-text article or supplied publisher text,6 | 6,Dataset section snippet | Dataset section snippet,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,"Public Figshare brain tumor dataset by Cheng et al., collected from 233 patients at two state-owned hospitals in Guangzhou and Tianjin, China between 2005 and 2010"
7,10.1016/j.compmedimag.2021.102014,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI,2022,University Hospital of Dijon DE-MRI dataset,195 DE-MRI examinations; approximately 7 slices/exam; paper abstract reports evaluation on 904 DE-MRI slices,Not available,Clinical,Clinical,Real,Not available,Same-grid infarct/myocardium segmentation mask,Dataset: Real; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,"T1-weighted Phase Sensitive Inversion Recovery (PSIR), short-axis DE-MRI",Delayed gadolinium enhancement,Not available,Dataset: Real; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,1.5 T and 3 T,Not applicable,Not applicable,Not applicable,Not applicable,standard/high-field only,standard/high-field only,Clinical annotation,Manual myocardium/infarction/no-reflow contours by medical experts,Not applicable,Real 1.5 T and 3 T clinical data; no ≤64 mT data,No distinct target field applies to this study design.,5 | 2 | 2,Dataset section snippet | Abstract | Introduction/Fig. 1,Full-text article or supplied publisher text,5 | 2 | 2,Dataset section snippet | Abstract | Introduction/Fig. 1,Dataset: Real; availability: Not available; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,"Single center data from the University Hospital of Dijon, France"
8,10.1016/j.media.2022.102428,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge,2022,EMIDEC challenge dataset,150 patients/exams: 50 non-infarct and 100 myocardial-infarction cases,Challenge training/test details not available in supplied extract; results refer to final challenge test phase,Public_benchmark,Public benchmark,Real,Not available,Same-grid segmentation masks / exam-level class label,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Kinetic cardiac MRI and delayed-enhancement MRI,Delayed enhancement after contrast agent,Public,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Unclear,unclear,Clinical annotation,Manual myocardium/infarct annotations and pathological/non-pathological exam labels,Not applicable,Not available,No distinct target field applies to this study design.,2 | 4 | 1,Abstract | DE-MRI and clinical information | Highlights,Full-text article or supplied publisher text,2 | 4 | 1,Abstract | DE-MRI and clinical information | Highlights,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,"EMIDEC dataset from University Hospital of Dijon, France; short-axis DE-MRI with associated clinical characteristics"
9,10.1016/j.diii.2022.06.006,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time,2023,Single-centre pancreatic MRI cohort,50 patients; 50 pancreatic lesions,Not applicable (retrospective paired image-quality comparison; no study-model training split reported),Clinical,Clinical,Real,VIBESTD/VIBESR voxel size 1.19 × 1.19 × 3 mm³,Not applicable (no separate measured HR target; VIBESR and VIBESTD have same reported voxel size),Dataset: Real; availability: Not reported; pairing: Paired by construction; ground truth: Measured same-subject reference.,T1-weighted 3D gradient-echo VIBE,"Precontrast, dynamic contrast-enhanced, postcontrast",Not reported,Dataset: Real; availability: Not reported; pairing: Paired by construction; ground truth: Measured same-subject reference.,Unknown,1.5 T,Explicitly reported,1.5 T,1.5 T,Standard/high-field,standard/high-field only,standard/high-field only,Measured same-subject reference,Standard VIBE reconstruction (VIBESTD) as same-exam comparator,Paired by construction,"Real 1.5 T data only; acquisition-time reduction was simulated retrospectively, not low-field MRI",1.5 T,1 | 3 | 1,Abstract | Table 2 | Abstract,Full-text article or supplied publisher text,1 | 3 | 1,Abstract | Table 2 | Abstract,Dataset: Real; availability: Not reported; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,"The data for this retrospective, single-center (monocentric) study was obtained from patients who underwent clinically indicated MRI examinations at the Eberhard Karls University Tuebingen in Germany"
10,10.1016/j.cmpb.2020.105729,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets,2020,Numerical phantoms plus in-vitro pulsatile-flow MRI experiments,Not available,Not applicable / Not available,Synthetic,Synthetic,Mixed,Exact input grid not available; paper reports simulated low-resolution 4D-Flow MRI and SR factors,High-resolution DNN sampling / high-resolution PIV reference; exact grid not available,Dataset: Mixed; availability: Not available; pairing: Paired by construction; ground truth: Simulation/reference model.,4D-Flow MRI (time-resolved 3D phase-contrast MRI),Magnitude plus velocity/phase information,Not available,Dataset: Mixed; availability: Not available; pairing: Paired by construction; ground truth: Simulation/reference model.,Synthetic/derived (field unresolved),Not available,Not available,Not available,Not available,Not available,Unclear,unclear,Simulation/reference model,Numerical phantom truth and high-resolution particle image velocimetry (PIV) for in-vitro validation,Paired by construction,"No real low-field evidence; simulated low-resolution 4D-Flow data are used, field strength unavailable",Target field strength could not be verified from the available publisher text.,2 | 2,Abstract | Abstract,Full-text article or supplied publisher text,2 | 2,Abstract | Abstract,Dataset: Mixed; availability: Not available; pairing: Paired by construction; ground truth: Simulation/reference model.,Partial text,Full-text article or supplied publisher text,Synthetic data from CFD simulations of an idealized intracranial aneurysm and a cylinder wake. In-vitro data from a silicone phantom model scanned with a 7T MRI system and validated with PIV.
